Row ID,Order ID,Order Date,Month Year,Order Priority,Order Quantity,Sales,Customer Name,Province,Region,Product Category,Product Sub-Category,Product Name
1,3,10/13/2010,10-01-2010,Low,6,261.54,Muhammed MacIntyre,Nunavut,Nunavut,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum"
49,293,10-01-2012,10-01-2012,High,49,10123.02,Barry French,Nunavut,Nunavut,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
50,293,10-01-2012,10-01-2012,High,27,244.57,Barry French,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl"
80,483,07-10-2011,07-01-2011,High,30,4965.7595,Clay Rozendal,Nunavut,Nunavut,Technology,Telephones and Communication,R380
85,515,8/28/2010,08-01-2010,Not Specified,19,394.27,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier
86,515,8/28/2010,08-01-2010,Not Specified,21,146.69,Carlos Soltero,Nunavut,Nunavut,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs
97,613,6/17/2011,06-01-2011,High,12,93.54,Carl Jackson,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders"
98,613,6/17/2011,06-01-2011,High,22,905.08,Carl Jackson,Nunavut,Nunavut,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame"
103,643,3/24/2011,03-01-2011,High,21,2781.82,Monica Federle,Nunavut,Nunavut,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black"
107,678,2/26/2010,02-01-2010,Low,44,228.41,Dorothy Badders,Nunavut,Nunavut,Office Supplies,Paper,Xerox 198
127,807,11/23/2010,11-01-2010,Medium,45,196.85,Neola Schneider,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1980
128,807,11/23/2010,11-01-2010,Medium,32,124.56,Neola Schneider,Nunavut,Nunavut,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks
134,868,06-08-2012,06-01-2012,Not Specified,32,716.84,Carlos Daly,Nunavut,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier
135,868,06-08-2012,06-01-2012,Not Specified,31,1474.33,Carlos Daly,Nunavut,Nunavut,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples"
149,933,08-04-2012,08-01-2012,Not Specified,15,80.61,Claudia Miner,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders"
160,995,5/30/2011,05-01-2011,Medium,46,1815.49,Neola Schneider,Nunavut,Nunavut,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer
161,998,11/25/2009,11-01-2009,Not Specified,16,248.26,Allen Rosenblatt,Nunavut,Nunavut,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
175,1154,2/14/2012,02-01-2012,Critical,44,4462.23,Sylvia Foulston,Nunavut,Nunavut,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases
176,1154,2/14/2012,02-01-2012,Critical,11,663.784,Sylvia Foulston,Nunavut,Nunavut,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table"
203,1344,4/15/2012,04-01-2012,Low,15,834.904,Jim Radford,Nunavut,Nunavut,Technology,Telephones and Communication,g520
204,1344,4/15/2012,04-01-2012,Low,18,2480.9205,Jim Radford,Nunavut,Nunavut,Technology,Telephones and Communication,LX 788
213,1412,03-12-2010,03-01-2010,Not Specified,13,59.03,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Labels,Avery 52
214,1412,03-12-2010,03-01-2010,Not Specified,21,97.48,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth
229,1539,03-09-2011,03-01-2011,Low,33,511.83,Carl Ludwig,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
230,1539,03-09-2011,03-01-2011,Low,38,184.99,Carl Ludwig,Nunavut,Nunavut,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack"
231,1540,08-04-2012,08-01-2012,High,30,80.9,Don Miller,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,Newell 335
249,1702,05-06-2011,05-01-2011,High,23,67.24,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters
250,1761,12/23/2010,12-01-2010,High,25,12028.23,Carl Ludwig,Nunavut,Nunavut,Technology,Copiers and Fax,Canon PC940 Copier
256,1792,11-08-2010,11-01-2010,Low,28,370.48,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black"
330,2275,10/21/2012,10-01-2012,Not Specified,49,278,Grant Carroll,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers
331,2277,01-01-2011,01-01-2011,Not Specified,10,66.54,Don Miller,Nunavut,Nunavut,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack"
332,2277,01-01-2011,01-01-2011,Not Specified,21,845.32,Don Miller,Nunavut,Nunavut,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11"
362,2532,10-10-2011,10-01-2011,High,39,282.07,Alan Barnes,Nunavut,Nunavut,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
363,2532,10-10-2011,10-01-2011,High,24,426.037,Alan Barnes,Nunavut,Nunavut,Technology,Telephones and Communication,Accessory37
381,2631,9/23/2010,09-01-2010,Low,27,1078.49,Jack Garza,Nunavut,Nunavut,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM
